entity_id,entity_type,name,image_url
40402,character,"Kimiya, Hibiki",https://cdn.myanimelist.net/images/characters/10/402201.jpg
40403,character,"Mogami, Kimikage",https://cdn.myanimelist.net/images/characters/7/407885.jpg
40404,character,"Sumiso, Kotoko",https://cdn.myanimelist.net/images/characters/9/404640.jpg
40405,character,Aitsu,https://cdn.myanimelist.net/images/characters/15/407882.jpg
40406,character,"Mogami, Suzuran",https://cdn.myanimelist.net/images/characters/3/407884.jpg
40407,character,"Tokimune, Shikimi",https://cdn.myanimelist.net/images/characters/6/407887.jpg
40408,character,Mister,https://cdn.myanimelist.net/images/characters/2/517886.jpg
40409,character,"Dochley, Franca",https://cdn.myanimelist.net/images/characters/7/500564.jpg
40410,character,"Gordon, Swamp",https://cdn.myanimelist.net/images/characters/5/500565.jpg
40411,character,"Burns, Angelica",https://cdn.myanimelist.net/images/characters/14/500559.jpg
40412,character,November,https://cdn.myanimelist.net/images/questionmark_23.jpg
40413,character,June,https://cdn.myanimelist.net/images/questionmark_23.jpg
40414,voice_actor,"Matsuura, Chie",https://cdn.myanimelist.net/images/voiceactors/1/26225.jpg
40415,character,"Hazuki, Seira",https://cdn.myanimelist.net/images/characters/16/113122.jpg
40416,character,"Zera, Prince",https://cdn.myanimelist.net/images/characters/12/113121.jpg
40417,character,"Tsuneni, Miharu",https://cdn.myanimelist.net/images/characters/15/113123.jpg
40418,voice_actor,"Okohira, Shizuka",https://cdn.myanimelist.net/images/voiceactors/2/15917.jpg
40419,character,Freddy Claw,https://cdn.myanimelist.net/images/characters/5/367863.jpg
